"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","country","datasetID","dynamicProperties","family","genus","higherClassification","higherGeography","individualCount","infraspecificEpithet","institutionCode","kingdom","locality","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","subgenus","typeStatus","year"
"8726260","Occurrence","20190009","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1548082857000, ""gbifID"": ""1989788341"", ""gbifIssue"": [""TAXON_MATCH_NONE""], ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Artefact"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Pinna nobilis (Linnaeus, 1758)""}","","Pinna","Mollusca; Bivalvia","","1","","NHMUK","","","1612303636000","6fe05ff6-1e96-42ef-92fa-224b62fa781b","present","","NHMUK:ecatalogue:8726260","Mollusca","","Pinna nobilis (Linnaeus, 1758)","(Linnaeus, 1758)","nobilis","","",""
"8270805","Occurrence","20180116","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518192833000, ""gbifID"": ""1826441398"", ""barcode"": ""013575623"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Specimen"", ""kindOfCollection"": ""wet"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Anomalocardia sp.""}","","Anomalocardia","Animalia; Mollusca; Bivalvia","","1","","NHMUK","Animalia","","1612301843000","f9de048e-d9b8-48eb-97f3-7e99637bfe65","present","","NHMUK:ecatalogue:8270805","Mollusca","","Anomalocardia sp.","","sp.","","",""
"8270812","Occurrence","20180119","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193093000, ""gbifID"": ""1826441390"", ""barcode"": ""013575624"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Tibia fusus Linnaeus, 1758""}","","Tibia","Mollusca","","1","","NHMUK","","","1612303549000","7ba9f10f-a953-4c63-850e-0cbaf60b0492","present","","NHMUK:ecatalogue:8270812","Mollusca","","Tibia fusus Linnaeus, 1758","Linnaeus, 1758","fusus","","",""
"8270814","Occurrence","20180120","Bivalvia","ZOO","Asia","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193155000, ""gbifID"": ""1826441251"", ""gbifIssue"": [""TAXON_MATCH_FUZZY""], ""barcode"": ""013575627"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Hiatula diphus (Linnaeus, 1771)""}","","Hiatula","Animalia; Mollusca; Bivalvia","Asia; Japan","1","","NHMUK","Animalia","","1612302091000","2ef3fad0-a529-4742-8a26-bab562cd27bc","present","","NHMUK:ecatalogue:8270814","Mollusca","","Hiatula diphus (Linnaeus, 1771)","(Linnaeus, 1771)","diphus","","",""
"8270809","Occurrence","20180118","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193041000, ""gbifID"": ""1826441290"", ""barcode"": ""013575625"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Strombus gigas Linnaeus,1758""}","","Strombus","Mollusca","","1","","NHMUK","","Barbados","1612303554000","d5990e36-9cb2-4af9-b1ec-df7a6747ef54","present","","NHMUK:ecatalogue:8270809","Mollusca","","Strombus gigas Linnaeus,1758","Linnaeus,1758","gigas","","",""
"8270819","Occurrence","20180124","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193331000, ""gbifID"": ""1826441485"", ""barcode"": ""013575631"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Murex pomum Gmelin, 1791""}","","Murex","","","1","","NHMUK","","Bahamas","1612302085000","0c43e469-94d3-4e6a-b602-f6d2d89d1952","present","","NHMUK:ecatalogue:8270819","","","Murex pomum Gmelin, 1791","Gmelin, 1791","pomum","","",""
"8270821","Occurrence","20180126","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193426000, ""gbifID"": ""1826441530"", ""barcode"": ""013575633"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Murex pomum Gmelin, 1791""}","","Murex","","","1","","NHMUK","","Bahamas","1612303554000","4f6f0658-1496-49c8-a6a7-d23b5f53f3c7","present","","NHMUK:ecatalogue:8270821","","","Murex pomum Gmelin, 1791","Gmelin, 1791","pomum","","",""
"8270822","Occurrence","20180127","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193477000, ""gbifID"": ""1826441369"", ""barcode"": ""013575634"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Murex pomum Gmelin, 1791""}","","Murex","","","1","","NHMUK","","Bahamas","1612301858000","0d41dc33-b2fc-403b-8f64-350959c75de3","present","","NHMUK:ecatalogue:8270822","","","Murex pomum Gmelin, 1791","Gmelin, 1791","pomum","","",""
"8726258","Occurrence","20190008","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1548082731000, ""gbifID"": ""1989788537"", ""gbifIssue"": [""TAXON_MATCH_NONE""], ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Artefact"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Pinna nobilis (Linnaeus, 1758)""}","","Pinna","Mollusca; Bivalvia","","1","","NHMUK","","","1612303636000","ad2f3018-3bd6-46dd-adcc-71a96cfbda2a","present","","NHMUK:ecatalogue:8726258","Mollusca","","Pinna nobilis (Linnaeus, 1758)","(Linnaeus, 1758)","nobilis","","",""
"8270817","Occurrence","20180123","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1518193274000, ""gbifID"": ""1826441486"", ""barcode"": ""013575630"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Voluta scapha Gmelin, 1791""}","","Voluta","","","1","","NHMUK","","","1612303527000","9063caf7-5d22-42b3-a04a-04cfd5ef904b","present","","NHMUK:ecatalogue:8270817","","","Voluta scapha Gmelin, 1791","Gmelin, 1791","scapha","","",""
