"_id","basisOfRecord","catalogNumber","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","fieldNumber","higherGeography","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","otherCatalogNumbers","scientificName","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"79715","Occurrence","BM.58353","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862661000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz (actinolite)"", ""identificationDescription"": ""Polished quartz pebble enclosing actinolite; 5.056g""}","","Asia","NHMUK","","Siberia","1608733387000","e8ddde50-d95a-4fd0-9fdf-d332189aefd5","present","NHMUK:ecatalogue:79715","","","","","",""
"82784","Occurrence","BM.61064","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863082000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","","1608732230000","75483336-6b5b-4045-a829-1be070e2b95f","present","NHMUK:ecatalogue:82784","Tremolite","Tremolite","","","",""
"82758","Occurrence","BM.61041","MIN","Europe","","United Kingdom","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863079000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Serpentine""}","","Europe; United Kingdom; England; Cornwall","NHMUK","","The Lizard","1608733869000","a8257d47-8acc-4354-ae95-c9df1975e81e","present","NHMUK:ecatalogue:82758","Serpentine","Serpentine","England","","",""
"79508","Occurrence","BM.58172","MIN","Europe","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862631000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Limonite""}","","Europe","NHMUK","","Chatean-Villain, Haute- Marne, France","1608733971000","6664abbb-312f-43b7-b079-85ab1b08d8b3","present","NHMUK:ecatalogue:79508","Limonite","Limonite","","","",""
"81899","Occurrence","BM.60274a","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862963000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Lazurite""}","","Asia","NHMUK","","Persia (prob. Badakshan dist., Afghanistan)","1608734020000","909109bb-a35b-4e95-a2a9-42459fc52b08","present","NHMUK:ecatalogue:81899","Lazurite","Lazurite","","","",""
"82304","Occurrence","BM.60634","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863019000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Turquoise""}","","Asia","NHMUK","","Khorassan, Persia","1608734029000","b98d9278-5a0c-49aa-927a-8d5eab06db68","present","NHMUK:ecatalogue:82304","Turquoise","Turquoise","","","",""
"79640","Occurrence","BM.58299","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862650000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Rutile""}","","South America; Brazil","NHMUK","","","1608737195000","f2cf624f-2f93-4f9e-a840-6fac6728250c","present","NHMUK:ecatalogue:79640","Rutile","Rutile","","","",""
"79684","Occurrence","BM.58339jj","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862656000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Glass (artificial)""}","","","NHMUK","","","1636734630000","5b1920f8-5e4f-4466-a138-f7390d2ca483","present","NHMUK:ecatalogue:79684","","","","","",""
"79636","Occurrence","BM.58295","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862650000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Rutile""}","","South America; Brazil","NHMUK","","","1608737200000","d0fcd325-5325-4626-b12d-943b6019e44a","present","NHMUK:ecatalogue:79636","Rutile","Rutile","","","",""
"79637","Occurrence","BM.58296","MIN","South America","1643.197334","Brazil","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862650000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Rutile""}","","South America; Brazil","NHMUK","","","1608737195000","17da6af9-0092-4305-b563-16479a3a2d16","present","NHMUK:ecatalogue:79637","Rutile","Rutile","","","",""
