"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","dynamicProperties","family","fieldNumber","genus","higherClassification","higherGeography","identifiedBy","institutionCode","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordNumber","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","stateProvince","year"
"4708542","Occurrence","BM000815513","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906155000, ""gbifID"": ""1056796810"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Fabaceae Lindl."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Fabaceae","s.n.","","Fabales; Fabaceae","Asia; Japan","P.-A. Hinz","NHMUK","1627922694000","73a46692-2311-4af5-87cf-ea5933c8334c","present","Fabales","NHMUK:ecatalogue:4708542","","s.n.","Engelbert Kaempfer","Fabaceae Lindl.","Lindl.","","","1691 - 1692"
"4708574","Occurrence","BM000815545","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906160000, ""gbifID"": ""1057391113"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Ligustrum indet."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Oleaceae","s.n.","Ligustrum","Oleaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633524000","e03872e5-2f81-4439-8381-fd93fb7c479b","present","","NHMUK:ecatalogue:4708574","","s.n.","Engelbert Kaempfer","Ligustrum indet.","","indet.","","1691 - 1692"
"4708605","Occurrence","BM000815576","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906164000, ""gbifID"": ""1056435157"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Symplocos lucida Siebold & Zucc."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Symplocaceae","s.n.","Symplocos","Symplocaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633518000","786e3bcb-47e7-4625-bbfa-4e27d2644954","present","","NHMUK:ecatalogue:4708605","","s.n.","Engelbert Kaempfer","Symplocos lucida Siebold & Zucc.","Siebold & Zucc.","lucida","","1691 - 1692"
"4708464","Occurrence","BM000815435","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906147000, ""gbifID"": ""1057345769"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Gardenia jasminoides (Ellis) L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Rubiaceae","s.n.","Gardenia","Dicotyledones; Rubiaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633505000","e5bc3b05-7c34-4a94-a7dc-90d37c528976","present","","NHMUK:ecatalogue:4708464","Dicotyledones","s.n.","Engelbert Kaempfer","Gardenia jasminoides (Ellis) L.","(Ellis) L.","jasminoides","","1691 - 1692"
"4708737","Occurrence","BM000815710","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906178000, ""gbifID"": ""1055324325"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Pieris japonica (Thunb.) D.Don"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Ericaceae","s.n.","Pieris","Ericaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633518000","c591b8a4-779e-4d1f-9be1-eb2bf8a7fb01","present","","NHMUK:ecatalogue:4708737","","s.n.","Engelbert Kaempfer","Pieris japonica (Thunb.) D.Don","(Thunb.) D.Don","japonica","","1691 - 1692"
"4708612","Occurrence","BM000815583","Liliopsida","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906164000, ""gbifID"": ""1055434745"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Acorus gramineus Solander ex Aiton"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Acoraceae","s.n.","Acorus","Magnoliophyta; Liliopsida; Alismatales; Acoraceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633525000","6006d722-4ebb-4a1d-8bbd-9bfbccfd15c1","present","Alismatales","NHMUK:ecatalogue:4708612","Magnoliophyta","s.n.","Engelbert Kaempfer","Acorus gramineus Solander ex Aiton","Solander ex Aiton","gramineus","","1691 - 1692"
"4708741","Occurrence","BM000815714","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906178000, ""gbifID"": ""1057127978"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Juniperus rigida Siebold & Zucc."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Cupressaceae","s.n.","Juniperus","Cupressales; Cupressaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633511000","0be63d4e-ca0c-4527-86b5-2ca2a665a013","present","Cupressales","NHMUK:ecatalogue:4708741","","s.n.","Engelbert Kaempfer","Juniperus rigida Siebold & Zucc.","Siebold & Zucc.","rigida","","1691 - 1692"
"4708474","Occurrence","BM000815445","Dicotyledones","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906148000, ""gbifID"": ""1055965980"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Nymphaeaceae"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Nymphaeaceae","s.n.","","Dicotyledones; Nymphaeaceae","Asia; Japan","","NHMUK","1619633528000","d3ac1d07-1f2e-4320-b498-1fe6aa1e1cbb","present","","NHMUK:ecatalogue:4708474","","s.n.","Engelbert Kaempfer","Nymphaeaceae","","","","1691 - 1692"
"4708639","Occurrence","BM000815610","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906167000, ""gbifID"": ""1055454029"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Pittosporum tobira (Thunb.) W.T.Aiton"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Pittosporaceae","s.n.","Pittosporum","Pittosporaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633528000","adbfdbb9-d414-49ef-9970-948dedb12e08","present","","NHMUK:ecatalogue:4708639","","s.n.","Engelbert Kaempfer","Pittosporum tobira (Thunb.) W.T.Aiton","(Thunb.) W.T.Aiton","tobira","","1691 - 1692"
"4708543","Occurrence","BM000815514","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906156000, ""gbifID"": ""1056708217"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_NONE""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Indet. indet."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Indet.","s.n.","Indet.","Indet.","Asia; Japan","","NHMUK","1627922693000","d4d4bf0b-cd00-45b1-8084-0ca76466ea82","present","","NHMUK:ecatalogue:4708543","","s.n.","Engelbert Kaempfer","Indet. indet.","","indet.","","1691 - 1692"
